Libro,Autor,Géneros,Puntaje
Quod nemo,Plinio Ballesteros Sureda,"Ciencia Ficción, Aventura",3
Neque quia cum architecto corrupti,Maxi Barrera Murillo,"Terror, Romance, Drama",1
Quaerat sapiente veritatis,Rafael Belmonte,"Terror, Histórico, Misterio",1
Minima dolore sit corrupti,Onofre Zamora Almagro,"Terror, Romance, Histórico",3
Repudiandae architecto,Rafael Belmonte,Romance,2
Cum sequi provident,Inmaculada Mulet Pinilla,Misterio,5
Beatae nemo aliquam,Plinio Ballesteros Sureda,"Terror, Histórico, Aventura",4
Quaerat aliquam dolores beatae,Inmaculada Mulet Pinilla,"Misterio, Fantasía",2
Sed consectetur,Luciana Saldaña Rozas,"Terror, Fantasía, Histórico",4
Nisi rerum non,Plinio Ballesteros Sureda,"Fantasía, Aventura, Misterio",3
Expedita iure,Fernanda Cañizares-Fiol,Drama,1
Esse debitis alias rerum ut,Aura Huerta Chico,"Fantasía, Histórico",3
Ducimus numquam,Onofre Noriega Ropero,Terror,2
Totam optio nulla,Plinio Ballesteros Sureda,Aventura,3
Dolore deserunt veniam voluptatem cumque,Teresa Baena,Fantasía,5
Quod nemo,Plinio Ballesteros Sureda,"Ciencia Ficción, Aventura",5
Delectus quisquam aliquam porro distinctio,Maxi Barrera Murillo,"Ciencia Ficción, Aventura",2
Harum minus praesentium modi,Rafael Belmonte,"Drama, Aventura",2
Nulla placeat accusantium,Rafael Garzón-Ariño,Drama,1
Quaerat voluptate quod,Paca Soledad Marquez Abella,"Drama, Aventura, Misterio",4
Corporis consequuntur commodi,Wilfredo Villalobos,"Romance, Aventura, Misterio",4
Quod nemo,Plinio Ballesteros Sureda,"Ciencia Ficción, Aventura",3
Eveniet nulla veniam iure,Ignacio Haroldo Roldan Lara,"Terror, Histórico",2
Accusamus dolor,Celso Albert Valero Martin,"Terror, Fantasía, Misterio",3
Ipsa eos dignissimos,Adolfo Rovira Oliva,"Fantasía, Ciencia Ficción, Drama",2
Eligendi vero vel earum,Inmaculada Mulet Pinilla,"Terror, Fantasía",5
Totam ipsam,Rosa María Mendoza,"Histórico, Aventura, Misterio",3
Cum odio earum unde aperiam,Aura Anastasia López Vidal,Aventura,4
Nostrum animi,Maxi Barrera Murillo,Aventura,4
Nisi rerum non,Plinio Ballesteros Sureda,"Fantasía, Aventura, Misterio",1
Quia et debitis,Maxi Barrera Murillo,Aventura,5
Dolore saepe omnis,Ignacio Haroldo Roldan Lara,"Romance, Ciencia Ficción, Aventura",1
Aut sapiente ab saepe,Juanito Canet-Recio,"Romance, Ciencia Ficción, Drama",3
Aliquid officiis at ex molestiae,Amada Ricart-Verdú,"Misterio, Terror",5
Sit ipsa accusantium,Apolonia Pallarès Suárez,Fantasía,3
Autem sequi praesentium minima,Amada Ricart-Verdú,"Fantasía, Ciencia Ficción, Aventura",5
Nulla placeat accusantium,Rafael Garzón-Ariño,Drama,4
Qui sed nihil veniam,Apolonia Borrás Cepeda,"Ciencia Ficción, Drama, Misterio",1
Labore magnam error consequuntur,Luna Sanjuan Gascón,"Romance, Ciencia Ficción",1
Blanditiis nemo expedita at,Rafael Garzón-Ariño,Romance,4
Quaerat sapiente veritatis,Rafael Belmonte,"Terror, Histórico, Misterio",3
Dicta veritatis,Aura Anastasia López Vidal,Terror,1
Ducimus numquam,Onofre Noriega Ropero,Terror,1
Doloremque eos numquam,Juanito Canet-Recio,"Ciencia Ficción, Histórico",3
Expedita in ratione,Rafael Belmonte,Histórico,3
Odit non,Paca Soledad Marquez Abella,"Histórico, Drama",5
Voluptatum totam,Concepción Royo,Fantasía,4
Repudiandae architecto,Rafael Belmonte,Romance,5
Sapiente laborum odio,Fernanda Cañizares-Fiol,"Ciencia Ficción, Aventura",1
Necessitatibus blanditiis,Apolonia Pallarès Suárez,"Histórico, Drama, Misterio",4
Consequuntur cum,Luna Sanjuan Gascón,Histórico,5
Sit pariatur aut molestiae illo,Inmaculada Mulet Pinilla,Aventura,5
Ex ex aut in,Ignacio Haroldo Roldan Lara,"Terror, Fantasía",5
Veritatis debitis repudiandae,Teresa Baena,"Terror, Histórico, Aventura",4
Dolore saepe omnis,Ignacio Haroldo Roldan Lara,"Romance, Ciencia Ficción, Aventura",4
Praesentium animi a perspiciatis,Apolonia Borrás Cepeda,Ciencia Ficción,3
Reprehenderit quos impedit vitae doloribus,Ignacio Haroldo Roldan Lara,"Terror, Romance, Misterio",5
Totam ipsam,Rosa María Mendoza,"Histórico, Aventura, Misterio",5
Nostrum consectetur voluptates doloribus dolor,Onofre Noriega Ropero,"Misterio, Aventura",2
Perferendis velit enim,Onofre Zamora Almagro,"Ciencia Ficción, Histórico, Aventura",4
Architecto voluptatem voluptatum quis reiciendis,Onofre Zamora Almagro,"Histórico, Drama, Aventura",2
Dolore deserunt veniam voluptatem cumque,Teresa Baena,Fantasía,1
Aliquid minima tenetur praesentium,Onofre Zamora Almagro,"Fantasía, Aventura",1
Quas exercitationem explicabo assumenda eveniet,Apolonia Borrás Cepeda,"Ciencia Ficción, Aventura, Misterio",3
Delectus quisquam aliquam porro distinctio,Maxi Barrera Murillo,"Ciencia Ficción, Aventura",4
Eveniet nulla veniam iure,Ignacio Haroldo Roldan Lara,"Terror, Histórico",2
Cum nam architecto ullam,Concepción Royo,Romance,4
Quia consequatur velit,Emperatriz Cervera Avilés,Drama,5
Nesciunt dolore,Aura Anastasia López Vidal,"Histórico, Drama",1
Voluptate vitae,Rafael Garzón-Ariño,Aventura,4
Dolorem dignissimos dolorum doloribus,Luciana Saldaña Rozas,Terror,1
Aliquid officiis at ex molestiae,Amada Ricart-Verdú,"Misterio, Terror",1
Hic voluptatem animi,Evelia Portero Peiró,"Misterio, Romance",1
Tenetur sequi natus temporibus iusto,Adolfo Rovira Oliva,"Fantasía, Histórico",5
Quibusdam harum explicabo,Inmaculada Mulet Pinilla,"Romance, Fantasía, Misterio",2
At sed consequuntur,Celso Albert Valero Martin,"Terror, Romance, Fantasía",5
Neque officia quisquam voluptates,Adolfo Rovira Oliva,"Terror, Romance, Misterio",2
Exercitationem fuga error porro,Inmaculada Mulet Pinilla,"Ciencia Ficción, Drama, Misterio",3
Officiis a,Emperatriz Cervera Avilés,"Romance, Fantasía, Drama",1
Necessitatibus blanditiis,Apolonia Pallarès Suárez,"Histórico, Drama, Misterio",1
Nam maxime accusantium,Maxi Barrera Murillo,"Romance, Aventura",3
Eveniet aperiam,Adolfo Rovira Oliva,"Ciencia Ficción, Drama, Aventura",2
Nostrum animi,Maxi Barrera Murillo,Aventura,3
Eveniet nulla veniam iure,Ignacio Haroldo Roldan Lara,"Terror, Histórico",3
Dolorem dignissimos dolorum doloribus,Luciana Saldaña Rozas,Terror,2
Hic voluptatem animi,Evelia Portero Peiró,"Misterio, Romance",2
Dicta veritatis,Aura Anastasia López Vidal,Terror,4
Neque officia quisquam voluptates,Adolfo Rovira Oliva,"Terror, Romance, Misterio",1
Veritatis debitis repudiandae,Teresa Baena,"Terror, Histórico, Aventura",1
Aspernatur eius blanditiis explicabo nisi,Apolonia Borrás Cepeda,Histórico,5
Beatae laboriosam enim modi,Juanito Canet-Recio,Histórico,3
Voluptate vitae,Rafael Garzón-Ariño,Aventura,1
Esse debitis alias rerum ut,Aura Huerta Chico,"Fantasía, Histórico",5
Minima dolore sit corrupti,Onofre Zamora Almagro,"Terror, Romance, Histórico",1
Eligendi vero vel earum,Inmaculada Mulet Pinilla,"Terror, Fantasía",5
Sit ipsa accusantium,Apolonia Pallarès Suárez,Fantasía,5
Aspernatur eius blanditiis explicabo nisi,Apolonia Borrás Cepeda,Histórico,4
Vel saepe quia,Rosa María Mendoza,Terror,1
Tempore magni tenetur,Plinio Ballesteros Sureda,Histórico,1
Cum odio earum unde aperiam,Aura Anastasia López Vidal,Aventura,4
Expedita in ratione,Rafael Belmonte,Histórico,4
Neque officia quisquam voluptates,Adolfo Rovira Oliva,"Terror, Romance, Misterio",5
Totam optio nulla,Plinio Ballesteros Sureda,Aventura,2
Consequuntur cum,Luna Sanjuan Gascón,Histórico,2
Dolores esse aliquam quas mollitia,Concepción Royo,Fantasía,5
Repudiandae architecto,Rafael Belmonte,Romance,5
Labore alias sequi quasi debitis,Rafael Garzón-Ariño,Misterio,3
Architecto voluptatem voluptatum quis reiciendis,Onofre Zamora Almagro,"Histórico, Drama, Aventura",2
Accusamus dolor,Celso Albert Valero Martin,"Terror, Fantasía, Misterio",3
Ipsa eos dignissimos,Adolfo Rovira Oliva,"Fantasía, Ciencia Ficción, Drama",4
Deleniti sint,Aurelia Obdulia Ramos Valenciano,"Terror, Histórico",4
Officiis a,Emperatriz Cervera Avilés,"Romance, Fantasía, Drama",1
Odit non,Paca Soledad Marquez Abella,"Histórico, Drama",2
Sed perspiciatis adipisci,Inmaculada Mulet Pinilla,"Histórico, Aventura, Misterio",1
Quia et debitis,Maxi Barrera Murillo,Aventura,2
Maxime libero reprehenderit eius sit,Sandra Lluch,"Ciencia Ficción, Histórico",3
Quia consequatur velit,Emperatriz Cervera Avilés,Drama,3
Vel saepe quia,Rosa María Mendoza,Terror,1
At sed consequuntur,Celso Albert Valero Martin,"Terror, Romance, Fantasía",5
Repudiandae architecto,Rafael Belmonte,Romance,3
Sapiente laborum odio,Fernanda Cañizares-Fiol,"Ciencia Ficción, Aventura",3
Consequuntur cum,Luna Sanjuan Gascón,Histórico,5
Temporibus veritatis provident dolorum,Eusebia Morales Armas,"Ciencia Ficción, Drama, Aventura",3
Nam maxime accusantium,Maxi Barrera Murillo,"Romance, Aventura",5
Beatae nemo aliquam,Plinio Ballesteros Sureda,"Terror, Histórico, Aventura",1
Dicta alias rerum esse,Evelia Portero Peiró,"Misterio, Drama",3
Reprehenderit dignissimos ab architecto,Onofre Zamora Almagro,"Drama, Aventura",2
Dicta debitis,Paca Soledad Marquez Abella,Romance,5
Et suscipit,Luna Sanjuan Gascón,Drama,5
Sed perspiciatis adipisci,Inmaculada Mulet Pinilla,"Histórico, Aventura, Misterio",3
Labore alias sequi quasi debitis,Rafael Garzón-Ariño,Misterio,4
Voluptatum totam,Concepción Royo,Fantasía,2
Quis recusandae libero pariatur earum,Sandra Lluch,"Terror, Romance, Histórico",4
Quaerat sapiente veritatis,Rafael Belmonte,"Terror, Histórico, Misterio",4
Quaerat voluptate quod,Paca Soledad Marquez Abella,"Drama, Aventura, Misterio",4
Veritatis debitis repudiandae,Teresa Baena,"Terror, Histórico, Aventura",2
Sed perspiciatis adipisci,Inmaculada Mulet Pinilla,"Histórico, Aventura, Misterio",4
Voluptate vitae,Rafael Garzón-Ariño,Aventura,3
Tenetur sequi natus temporibus iusto,Adolfo Rovira Oliva,"Fantasía, Histórico",5
Cum nam architecto ullam,Concepción Royo,Romance,5
Temporibus iusto occaecati,Onofre Noriega Ropero,"Fantasía, Aventura",4
Ipsa eos dignissimos,Adolfo Rovira Oliva,"Fantasía, Ciencia Ficción, Drama",2
Repudiandae architecto,Rafael Belmonte,Romance,2
El libro oscuro,Wilfredo Villalobos,Fantasía,5
Architecto voluptatem voluptatum quis reiciendis,Onofre Zamora Almagro,"Histórico, Drama, Aventura",2
Numquam impedit dolor,Wilfredo Villalobos,Histórico,3
Tempore magni tenetur,Plinio Ballesteros Sureda,Histórico,3
Nesciunt similique cupiditate,Inmaculada Mulet Pinilla,"Romance, Fantasía, Drama",2
Sit ipsa accusantium,Apolonia Pallarès Suárez,Fantasía,2
Occaecati quis repellat temporibus,Inmaculada Mulet Pinilla,"Ciencia Ficción, Histórico, Misterio",1
Necessitatibus blanditiis,Apolonia Pallarès Suárez,"Histórico, Drama, Misterio",4
Ex ex aut in,Ignacio Haroldo Roldan Lara,"Terror, Fantasía",4
Cum odio earum unde aperiam,Aura Anastasia López Vidal,Aventura,2
Labore alias sequi quasi debitis,Rafael Garzón-Ariño,Misterio,3
Ducimus possimus recusandae exercitationem,Aura Huerta Chico,"Terror, Ciencia Ficción, Drama",2
Atque amet nam pariatur,Plinio Ballesteros Sureda,Fantasía,3
Repudiandae architecto,Rafael Belmonte,Romance,3
Quibusdam harum explicabo,Inmaculada Mulet Pinilla,"Romance, Fantasía, Misterio",4
Neque officia quisquam voluptates,Adolfo Rovira Oliva,"Terror, Romance, Misterio",5
Dicta alias rerum esse,Evelia Portero Peiró,"Misterio, Drama",4
Quaerat sapiente veritatis,Rafael Belmonte,"Terror, Histórico, Misterio",4
Et suscipit,Luna Sanjuan Gascón,Drama,5
Accusamus dolor,Celso Albert Valero Martin,"Terror, Fantasía, Misterio",4
Vel saepe quia,Rosa María Mendoza,Terror,4
Neque quia cum architecto corrupti,Maxi Barrera Murillo,"Terror, Romance, Drama",5
Est dignissimos accusamus neque perspiciatis,Adolfo Rovira Oliva,Drama,5
Odio culpa aliquam non,Plinio Ballesteros Sureda,Fantasía,3
Quas exercitationem explicabo assumenda eveniet,Apolonia Borrás Cepeda,"Ciencia Ficción, Aventura, Misterio",3
Architecto voluptatem voluptatum quis reiciendis,Onofre Zamora Almagro,"Histórico, Drama, Aventura",3
Magnam rerum,Rosa María Mendoza,Terror,2
Maxime libero reprehenderit eius sit,Sandra Lluch,"Ciencia Ficción, Histórico",1
Sed consectetur,Luciana Saldaña Rozas,"Terror, Fantasía, Histórico",3
Eligendi vero vel earum,Inmaculada Mulet Pinilla,"Terror, Fantasía",4
Aliquam accusantium dolore modi labore,Adolfo Rovira Oliva,Drama,2
Deleniti incidunt illum,Paca Soledad Marquez Abella,"Terror, Romance, Ciencia Ficción",2
Ducimus numquam,Onofre Noriega Ropero,Terror,1
Harum minus praesentium modi,Rafael Belmonte,"Drama, Aventura",5
Labore alias sequi quasi debitis,Rafael Garzón-Ariño,Misterio,2
Neque quia cum architecto corrupti,Maxi Barrera Murillo,"Terror, Romance, Drama",1
Dicta beatae,Rafael Garzón-Ariño,Misterio,3
Officiis a,Emperatriz Cervera Avilés,"Romance, Fantasía, Drama",4
Dicta alias rerum esse,Evelia Portero Peiró,"Misterio, Drama",2
Nulla placeat accusantium,Rafael Garzón-Ariño,Drama,2
Alias amet accusamus eum repellendus,Evelia Portero Peiró,"Romance, Drama",1
Quaerat sapiente veritatis,Rafael Belmonte,"Terror, Histórico, Misterio",1
Labore magnam error consequuntur,Luna Sanjuan Gascón,"Romance, Ciencia Ficción",2
Nisi facilis voluptate corporis molestias,Aura Anastasia López Vidal,"Ciencia Ficción, Drama, Aventura",1
Perferendis velit enim,Onofre Zamora Almagro,"Ciencia Ficción, Histórico, Aventura",5
Dolore saepe omnis,Ignacio Haroldo Roldan Lara,"Romance, Ciencia Ficción, Aventura",3
Cum sequi provident,Inmaculada Mulet Pinilla,Misterio,1
Vel saepe quia,Rosa María Mendoza,Terror,1
Deleniti incidunt illum,Paca Soledad Marquez Abella,"Terror, Romance, Ciencia Ficción",5
Maxime libero reprehenderit eius sit,Sandra Lluch,"Ciencia Ficción, Histórico",2
Architecto provident dolore,Teresa Baena,Fantasía,2
Reprehenderit dignissimos ab architecto,Onofre Zamora Almagro,"Drama, Aventura",3
Nam maxime accusantium,Maxi Barrera Murillo,"Romance, Aventura",5
Architecto voluptatem voluptatum quis reiciendis,Onofre Zamora Almagro,"Histórico, Drama, Aventura",5
Architecto provident dolore,Teresa Baena,Fantasía,1
El libro oscuro,Wilfredo Villalobos,Fantasía,3
Dicta debitis,Paca Soledad Marquez Abella,Romance,4
Deleniti sint,Aurelia Obdulia Ramos Valenciano,"Terror, Histórico",1
Aliquam accusantium dolore modi labore,Adolfo Rovira Oliva,Drama,1
Neque quia cum architecto corrupti,Maxi Barrera Murillo,"Terror, Romance, Drama",4
Iusto voluptatem consequatur quia,Teresa Baena,"Terror, Romance, Drama",2
Ratione fugiat voluptates dolore,Concepción Royo,"Fantasía, Ciencia Ficción",2
Et suscipit,Luna Sanjuan Gascón,Drama,3
Nisi facilis voluptate corporis molestias,Aura Anastasia López Vidal,"Ciencia Ficción, Drama, Aventura",5
Veritatis debitis repudiandae,Teresa Baena,"Terror, Histórico, Aventura",4
Aliquid minima tenetur praesentium,Onofre Zamora Almagro,"Fantasía, Aventura",5
Deleniti sint,Aurelia Obdulia Ramos Valenciano,"Terror, Histórico",3
Architecto voluptatem voluptatum quis reiciendis,Onofre Zamora Almagro,"Histórico, Drama, Aventura",5
Eligendi vero vel earum,Inmaculada Mulet Pinilla,"Terror, Fantasía",5
Dolore saepe omnis,Ignacio Haroldo Roldan Lara,"Romance, Ciencia Ficción, Aventura",2
Odio culpa aliquam non,Plinio Ballesteros Sureda,Fantasía,4
Dolorum temporibus vel quisquam,Aura Anastasia López Vidal,"Terror, Romance, Misterio",3
Doloremque eos numquam,Juanito Canet-Recio,"Ciencia Ficción, Histórico",2
Beatae laboriosam enim modi,Juanito Canet-Recio,Histórico,3
Atque ea aliquid,Aura Anastasia López Vidal,"Fantasía, Histórico, Drama",4
Aliquid minima tenetur praesentium,Onofre Zamora Almagro,"Fantasía, Aventura",2
Expedita iure,Fernanda Cañizares-Fiol,Drama,3
Ipsa eos dignissimos,Adolfo Rovira Oliva,"Fantasía, Ciencia Ficción, Drama",4
Deleniti sint,Aurelia Obdulia Ramos Valenciano,"Terror, Histórico",3
Beatae nemo aliquam,Plinio Ballesteros Sureda,"Terror, Histórico, Aventura",1
Temporibus veritatis provident dolorum,Eusebia Morales Armas,"Ciencia Ficción, Drama, Aventura",3
Occaecati quis repellat temporibus,Inmaculada Mulet Pinilla,"Ciencia Ficción, Histórico, Misterio",3
Cum sequi provident,Inmaculada Mulet Pinilla,Misterio,1
Eveniet aperiam,Adolfo Rovira Oliva,"Ciencia Ficción, Drama, Aventura",1
Perspiciatis ab unde,Luna Sanjuan Gascón,"Terror, Romance, Ciencia Ficción",2
Harum minus praesentium modi,Rafael Belmonte,"Drama, Aventura",4
Minima dolore sit corrupti,Onofre Zamora Almagro,"Terror, Romance, Histórico",2
Cum odio earum unde aperiam,Aura Anastasia López Vidal,Aventura,4
Odio culpa aliquam non,Plinio Ballesteros Sureda,Fantasía,5
Reprehenderit dignissimos ab architecto,Onofre Zamora Almagro,"Drama, Aventura",3
Architecto provident dolore,Teresa Baena,Fantasía,3
Ratione fugiat voluptates dolore,Concepción Royo,"Fantasía, Ciencia Ficción",2
Accusamus dolor,Celso Albert Valero Martin,"Terror, Fantasía, Misterio",5
Soluta possimus quos,Juanito Canet-Recio,Fantasía,3
Quia consequatur velit,Emperatriz Cervera Avilés,Drama,2
Atque ea aliquid,Aura Anastasia López Vidal,"Fantasía, Histórico, Drama",4
Vel saepe quia,Rosa María Mendoza,Terror,1
Cum sequi provident,Inmaculada Mulet Pinilla,Misterio,2
Nam maxime accusantium,Maxi Barrera Murillo,"Romance, Aventura",2
Exercitationem fuga error porro,Inmaculada Mulet Pinilla,"Ciencia Ficción, Drama, Misterio",5
Voluptate vitae,Rafael Garzón-Ariño,Aventura,2
Ex eveniet aspernatur,Luna Sanjuan Gascón,"Romance, Ciencia Ficción, Histórico",1
Totam optio nulla,Plinio Ballesteros Sureda,Aventura,2
Blanditiis nemo expedita at,Rafael Garzón-Ariño,Romance,1
Velit ipsam,Luna Sanjuan Gascón,"Terror, Ciencia Ficción",5
Reprehenderit quos impedit vitae doloribus,Ignacio Haroldo Roldan Lara,"Terror, Romance, Misterio",5
Adipisci perferendis reprehenderit accusamus neque,Ignacio Haroldo Roldan Lara,"Fantasía, Histórico, Misterio",2
Alias amet accusamus eum repellendus,Evelia Portero Peiró,"Romance, Drama",2
