Libro,Autor,Géneros,Puntaje
Dicta veritatis,Aura Anastasia López Vidal,Terror,2
Necessitatibus blanditiis,Apolonia Pallarès Suárez,"Histórico, Drama, Misterio",3
Alias amet accusamus eum repellendus,Evelia Portero Peiró,"Romance, Drama",3
Eligendi vero vel earum,Inmaculada Mulet Pinilla,"Terror, Fantasía",3
Quod nemo,Plinio Ballesteros Sureda,"Ciencia Ficción, Aventura",2
Blanditiis nemo expedita at,Rafael Garzón-Ariño,Romance,4
Aliquid officiis at ex molestiae,Amada Ricart-Verdú,"Misterio, Terror",1
Eum aliquid ratione,Onofre Zamora Almagro,"Histórico, Drama, Aventura",5
Harum minus praesentium modi,Rafael Belmonte,"Drama, Aventura",2
Consequuntur cum,Luna Sanjuan Gascón,Histórico,5
Temporibus iusto occaecati,Onofre Noriega Ropero,"Fantasía, Aventura",2
Voluptatum totam,Concepción Royo,Fantasía,4
Totam optio nulla,Plinio Ballesteros Sureda,Aventura,4
Dicta debitis,Paca Soledad Marquez Abella,Romance,2
Eum aliquid ratione,Onofre Zamora Almagro,"Histórico, Drama, Aventura",1
Aut sapiente ab saepe,Juanito Canet-Recio,"Romance, Ciencia Ficción, Drama",5
Atque amet nam pariatur,Plinio Ballesteros Sureda,Fantasía,5
Praesentium animi a perspiciatis,Apolonia Borrás Cepeda,Ciencia Ficción,4
Aliquam accusantium dolore modi labore,Adolfo Rovira Oliva,Drama,3
Expedita iure,Fernanda Cañizares-Fiol,Drama,5
Blanditiis nemo expedita at,Rafael Garzón-Ariño,Romance,5
Labore alias sequi quasi debitis,Rafael Garzón-Ariño,Misterio,2
Quia et debitis,Maxi Barrera Murillo,Aventura,1
Odio culpa aliquam non,Plinio Ballesteros Sureda,Fantasía,1
Odio culpa aliquam non,Plinio Ballesteros Sureda,Fantasía,4
Occaecati quis repellat temporibus,Inmaculada Mulet Pinilla,"Ciencia Ficción, Histórico, Misterio",5
Esse debitis alias rerum ut,Aura Huerta Chico,"Fantasía, Histórico",3
Expedita in ratione,Rafael Belmonte,Histórico,5
Quas exercitationem explicabo assumenda eveniet,Apolonia Borrás Cepeda,"Ciencia Ficción, Aventura, Misterio",1
Nesciunt dolore,Aura Anastasia López Vidal,"Histórico, Drama",3
Cum odio earum unde aperiam,Aura Anastasia López Vidal,Aventura,1
Ducimus possimus recusandae exercitationem,Aura Huerta Chico,"Terror, Ciencia Ficción, Drama",2
Iusto voluptatem consequatur quia,Teresa Baena,"Terror, Romance, Drama",5
Deleniti sint,Aurelia Obdulia Ramos Valenciano,"Terror, Histórico",5
Nesciunt similique cupiditate,Inmaculada Mulet Pinilla,"Romance, Fantasía, Drama",3
Quam esse ex,Celso Albert Valero Martin,Ciencia Ficción,1
Necessitatibus blanditiis,Apolonia Pallarès Suárez,"Histórico, Drama, Misterio",5
Velit ipsam,Luna Sanjuan Gascón,"Terror, Ciencia Ficción",3
Eum mollitia nihil,Onofre Noriega Ropero,"Misterio, Drama",2
Eligendi vero vel earum,Inmaculada Mulet Pinilla,"Terror, Fantasía",4
Perferendis velit enim,Onofre Zamora Almagro,"Ciencia Ficción, Histórico, Aventura",4
Blanditiis nemo expedita at,Rafael Garzón-Ariño,Romance,5
Corporis adipisci quaerat ipsam voluptatibus,Teresa Baena,"Terror, Aventura, Misterio",3
Fugiat recusandae architecto,Sandra Lluch,"Ciencia Ficción, Aventura",2
Aliquid officiis at ex molestiae,Amada Ricart-Verdú,"Misterio, Terror",5
Ducimus possimus recusandae exercitationem,Aura Huerta Chico,"Terror, Ciencia Ficción, Drama",4
Perspiciatis ab unde,Luna Sanjuan Gascón,"Terror, Romance, Ciencia Ficción",4
Labore magnam error consequuntur,Luna Sanjuan Gascón,"Romance, Ciencia Ficción",5
Autem blanditiis eligendi,Luciana Saldaña Rozas,"Misterio, Histórico",2
Dicta veritatis,Aura Anastasia López Vidal,Terror,1
Dolores esse aliquam quas mollitia,Concepción Royo,Fantasía,1
Necessitatibus blanditiis,Apolonia Pallarès Suárez,"Histórico, Drama, Misterio",4
Nesciunt dolore,Aura Anastasia López Vidal,"Histórico, Drama",3
Qui sed nihil veniam,Apolonia Borrás Cepeda,"Ciencia Ficción, Drama, Misterio",4
Dolore saepe omnis,Ignacio Haroldo Roldan Lara,"Romance, Ciencia Ficción, Aventura",2
Consequuntur cum,Luna Sanjuan Gascón,Histórico,3
Ducimus possimus recusandae exercitationem,Aura Huerta Chico,"Terror, Ciencia Ficción, Drama",3
Aliquid officiis at ex molestiae,Amada Ricart-Verdú,"Misterio, Terror",2
Explicabo debitis iure,Aura Huerta Chico,"Histórico, Aventura, Misterio",3
Eveniet nulla veniam iure,Ignacio Haroldo Roldan Lara,"Terror, Histórico",2
Beatae nemo aliquam,Plinio Ballesteros Sureda,"Terror, Histórico, Aventura",5
Exercitationem fuga error porro,Inmaculada Mulet Pinilla,"Ciencia Ficción, Drama, Misterio",1
Vel repellendus officia delectus,Inmaculada Mulet Pinilla,Aventura,3
Eum aliquid ratione,Onofre Zamora Almagro,"Histórico, Drama, Aventura",3
Fugiat recusandae architecto,Sandra Lluch,"Ciencia Ficción, Aventura",1
Perferendis ullam,Eusebia Morales Armas,"Fantasía, Ciencia Ficción, Aventura",3
Nisi facilis voluptate corporis molestias,Aura Anastasia López Vidal,"Ciencia Ficción, Drama, Aventura",2
Atque ea aliquid,Aura Anastasia López Vidal,"Fantasía, Histórico, Drama",4
Aliquid minima tenetur praesentium,Onofre Zamora Almagro,"Fantasía, Aventura",3
Beatae laboriosam enim modi,Juanito Canet-Recio,Histórico,1
Autem blanditiis eligendi,Luciana Saldaña Rozas,"Misterio, Histórico",5
Totam optio nulla,Plinio Ballesteros Sureda,Aventura,5
Qui sed nihil veniam,Apolonia Borrás Cepeda,"Ciencia Ficción, Drama, Misterio",3
Eveniet nulla veniam iure,Ignacio Haroldo Roldan Lara,"Terror, Histórico",2
Dolorem dignissimos dolorum doloribus,Luciana Saldaña Rozas,Terror,3
Eaque dolores consequatur,Evelia Portero Peiró,Fantasía,2
Necessitatibus blanditiis,Apolonia Pallarès Suárez,"Histórico, Drama, Misterio",1
Minima dolore sit corrupti,Onofre Zamora Almagro,"Terror, Romance, Histórico",3
Vel saepe quia,Rosa María Mendoza,Terror,2
Atque amet nam pariatur,Plinio Ballesteros Sureda,Fantasía,2
Quam esse ex,Celso Albert Valero Martin,Ciencia Ficción,4
Delectus quisquam aliquam porro distinctio,Maxi Barrera Murillo,"Ciencia Ficción, Aventura",5
Quaerat sapiente veritatis,Rafael Belmonte,"Terror, Histórico, Misterio",5
Voluptatum totam,Concepción Royo,Fantasía,4
Eaque dolores consequatur,Evelia Portero Peiró,Fantasía,4
Dolore saepe omnis,Ignacio Haroldo Roldan Lara,"Romance, Ciencia Ficción, Aventura",3
Atque ut rem voluptate nemo,Onofre Noriega Ropero,"Terror, Fantasía",5
Quod nemo,Plinio Ballesteros Sureda,"Ciencia Ficción, Aventura",2
Aliquam accusantium dolore modi labore,Adolfo Rovira Oliva,Drama,3
Dolorem dignissimos dolorum doloribus,Luciana Saldaña Rozas,Terror,3
Soluta possimus quos,Juanito Canet-Recio,Fantasía,5
Quaerat aliquam dolores beatae,Inmaculada Mulet Pinilla,"Misterio, Fantasía",4
Atque amet nam pariatur,Plinio Ballesteros Sureda,Fantasía,5
Quis recusandae libero pariatur earum,Sandra Lluch,"Terror, Romance, Histórico",3
Autem blanditiis eligendi,Luciana Saldaña Rozas,"Misterio, Histórico",5
Architecto voluptatem voluptatum quis reiciendis,Onofre Zamora Almagro,"Histórico, Drama, Aventura",2
Qui sed nihil veniam,Apolonia Borrás Cepeda,"Ciencia Ficción, Drama, Misterio",3
Aspernatur eius blanditiis explicabo nisi,Apolonia Borrás Cepeda,Histórico,2
Quis recusandae libero pariatur earum,Sandra Lluch,"Terror, Romance, Histórico",4
Doloremque eos numquam,Juanito Canet-Recio,"Ciencia Ficción, Histórico",2
Quibusdam harum explicabo,Inmaculada Mulet Pinilla,"Romance, Fantasía, Misterio",5
Ducimus numquam,Onofre Noriega Ropero,Terror,4
Exercitationem fuga error porro,Inmaculada Mulet Pinilla,"Ciencia Ficción, Drama, Misterio",1
Esse debitis alias rerum ut,Aura Huerta Chico,"Fantasía, Histórico",4
Explicabo debitis iure,Aura Huerta Chico,"Histórico, Aventura, Misterio",1
Dicta debitis,Paca Soledad Marquez Abella,Romance,2
Odit non,Paca Soledad Marquez Abella,"Histórico, Drama",5
Odio culpa aliquam non,Plinio Ballesteros Sureda,Fantasía,2
Soluta possimus quos,Juanito Canet-Recio,Fantasía,2
Rem aliquid alias distinctio,Wilfredo Villalobos,Histórico,5
Expedita in ratione,Rafael Belmonte,Histórico,2
Quia et debitis,Maxi Barrera Murillo,Aventura,3
Sit pariatur aut molestiae illo,Inmaculada Mulet Pinilla,Aventura,2
Nesciunt dolore,Aura Anastasia López Vidal,"Histórico, Drama",3
Nisi rerum non,Plinio Ballesteros Sureda,"Fantasía, Aventura, Misterio",4
Soluta possimus quos,Juanito Canet-Recio,Fantasía,2
Dolores esse aliquam quas mollitia,Concepción Royo,Fantasía,1
Expedita iure,Fernanda Cañizares-Fiol,Drama,1
Et suscipit,Luna Sanjuan Gascón,Drama,5
El libro oscuro,Wilfredo Villalobos,Fantasía,4
Occaecati quis repellat temporibus,Inmaculada Mulet Pinilla,"Ciencia Ficción, Histórico, Misterio",5
Magnam rerum,Rosa María Mendoza,Terror,4
Beatae nemo aliquam,Plinio Ballesteros Sureda,"Terror, Histórico, Aventura",3
Ducimus numquam,Onofre Noriega Ropero,Terror,5
Fugiat recusandae architecto,Sandra Lluch,"Ciencia Ficción, Aventura",2
Eligendi vero vel earum,Inmaculada Mulet Pinilla,"Terror, Fantasía",5
Atque amet nam pariatur,Plinio Ballesteros Sureda,Fantasía,3
Beatae nemo aliquam,Plinio Ballesteros Sureda,"Terror, Histórico, Aventura",4
Veritatis debitis repudiandae,Teresa Baena,"Terror, Histórico, Aventura",2
Expedita iure,Fernanda Cañizares-Fiol,Drama,1
Explicabo debitis iure,Aura Huerta Chico,"Histórico, Aventura, Misterio",3
Praesentium animi a perspiciatis,Apolonia Borrás Cepeda,Ciencia Ficción,2
Atque ea aliquid,Aura Anastasia López Vidal,"Fantasía, Histórico, Drama",2
Voluptatum totam,Concepción Royo,Fantasía,5
Nesciunt similique cupiditate,Inmaculada Mulet Pinilla,"Romance, Fantasía, Drama",5
Delectus quisquam aliquam porro distinctio,Maxi Barrera Murillo,"Ciencia Ficción, Aventura",3
At sed consequuntur,Celso Albert Valero Martin,"Terror, Romance, Fantasía",3
Architecto voluptatem voluptatum quis reiciendis,Onofre Zamora Almagro,"Histórico, Drama, Aventura",2
Ex ex aut in,Ignacio Haroldo Roldan Lara,"Terror, Fantasía",4
Reprehenderit dignissimos ab architecto,Onofre Zamora Almagro,"Drama, Aventura",5
Atque amet nam pariatur,Plinio Ballesteros Sureda,Fantasía,2
Autem sequi praesentium minima,Amada Ricart-Verdú,"Fantasía, Ciencia Ficción, Aventura",3
Dicta debitis,Paca Soledad Marquez Abella,Romance,2
Aut sapiente ab saepe,Juanito Canet-Recio,"Romance, Ciencia Ficción, Drama",3
Ex eveniet aspernatur,Luna Sanjuan Gascón,"Romance, Ciencia Ficción, Histórico",2
Cum sequi provident,Inmaculada Mulet Pinilla,Misterio,3
Perspiciatis ab unde,Luna Sanjuan Gascón,"Terror, Romance, Ciencia Ficción",5
Explicabo debitis iure,Aura Huerta Chico,"Histórico, Aventura, Misterio",4
Totam ipsam,Rosa María Mendoza,"Histórico, Aventura, Misterio",1
Magnam rerum,Rosa María Mendoza,Terror,2
Ratione fugiat voluptates dolore,Concepción Royo,"Fantasía, Ciencia Ficción",5
Reprehenderit quos impedit vitae doloribus,Ignacio Haroldo Roldan Lara,"Terror, Romance, Misterio",1
Neque officia quisquam voluptates,Adolfo Rovira Oliva,"Terror, Romance, Misterio",4
Ducimus possimus recusandae exercitationem,Aura Huerta Chico,"Terror, Ciencia Ficción, Drama",5
Alias amet accusamus eum repellendus,Evelia Portero Peiró,"Romance, Drama",2
Necessitatibus blanditiis,Apolonia Pallarès Suárez,"Histórico, Drama, Misterio",1
Provident sit quam dolorem voluptatum,Emperatriz Cervera Avilés,Romance,3
Perferendis velit enim,Onofre Zamora Almagro,"Ciencia Ficción, Histórico, Aventura",5
Esse debitis alias rerum ut,Aura Huerta Chico,"Fantasía, Histórico",4
Totam ipsam,Rosa María Mendoza,"Histórico, Aventura, Misterio",2
Beatae nemo aliquam,Plinio Ballesteros Sureda,"Terror, Histórico, Aventura",5
Veritatis debitis repudiandae,Teresa Baena,"Terror, Histórico, Aventura",1
Est dignissimos accusamus neque perspiciatis,Adolfo Rovira Oliva,Drama,2
Temporibus veritatis provident dolorum,Eusebia Morales Armas,"Ciencia Ficción, Drama, Aventura",3
Vel repellendus officia delectus,Inmaculada Mulet Pinilla,Aventura,4
Eveniet nulla veniam iure,Ignacio Haroldo Roldan Lara,"Terror, Histórico",1
Dicta debitis,Paca Soledad Marquez Abella,Romance,5
Adipisci perferendis reprehenderit accusamus neque,Ignacio Haroldo Roldan Lara,"Fantasía, Histórico, Misterio",5
Nisi rerum non,Plinio Ballesteros Sureda,"Fantasía, Aventura, Misterio",2
Accusamus dolor,Celso Albert Valero Martin,"Terror, Fantasía, Misterio",5
Nam maxime accusantium,Maxi Barrera Murillo,"Romance, Aventura",2
Numquam impedit dolor,Wilfredo Villalobos,Histórico,1
Quaerat sapiente veritatis,Rafael Belmonte,"Terror, Histórico, Misterio",5
Tempore magni tenetur,Plinio Ballesteros Sureda,Histórico,3
Esse debitis alias rerum ut,Aura Huerta Chico,"Fantasía, Histórico",1
Sed consectetur,Luciana Saldaña Rozas,"Terror, Fantasía, Histórico",5
Iusto voluptatem consequatur quia,Teresa Baena,"Terror, Romance, Drama",4
Magnam rerum,Rosa María Mendoza,Terror,3
Labore alias sequi quasi debitis,Rafael Garzón-Ariño,Misterio,2
Beatae laboriosam enim modi,Juanito Canet-Recio,Histórico,1
Minima dolore sit corrupti,Onofre Zamora Almagro,"Terror, Romance, Histórico",3
Eveniet aperiam,Adolfo Rovira Oliva,"Ciencia Ficción, Drama, Aventura",1
Voluptatum totam,Concepción Royo,Fantasía,5
Dolore deserunt veniam voluptatem cumque,Teresa Baena,Fantasía,5
Adipisci perferendis reprehenderit accusamus neque,Ignacio Haroldo Roldan Lara,"Fantasía, Histórico, Misterio",1
Dicta alias rerum esse,Evelia Portero Peiró,"Misterio, Drama",2
Rem aliquid alias distinctio,Wilfredo Villalobos,Histórico,5
Quam esse ex,Celso Albert Valero Martin,Ciencia Ficción,4
Sapiente laborum odio,Fernanda Cañizares-Fiol,"Ciencia Ficción, Aventura",5
Explicabo debitis iure,Aura Huerta Chico,"Histórico, Aventura, Misterio",4
Perferendis velit enim,Onofre Zamora Almagro,"Ciencia Ficción, Histórico, Aventura",4
Eaque dolores consequatur,Evelia Portero Peiró,Fantasía,5
Corporis consequuntur commodi,Wilfredo Villalobos,"Romance, Aventura, Misterio",1
Accusamus dolor,Celso Albert Valero Martin,"Terror, Fantasía, Misterio",4
Quaerat voluptate quod,Paca Soledad Marquez Abella,"Drama, Aventura, Misterio",2
Ducimus possimus recusandae exercitationem,Aura Huerta Chico,"Terror, Ciencia Ficción, Drama",3
Eaque dolores consequatur,Evelia Portero Peiró,Fantasía,5
Aliquid officiis at ex molestiae,Amada Ricart-Verdú,"Misterio, Terror",2
Ipsa eos dignissimos,Adolfo Rovira Oliva,"Fantasía, Ciencia Ficción, Drama",3
Eum aliquid ratione,Onofre Zamora Almagro,"Histórico, Drama, Aventura",1
Fugiat recusandae architecto,Sandra Lluch,"Ciencia Ficción, Aventura",5
Quia consequatur velit,Emperatriz Cervera Avilés,Drama,2
Doloremque eos numquam,Juanito Canet-Recio,"Ciencia Ficción, Histórico",3
El libro oscuro,Wilfredo Villalobos,Fantasía,1
Perferendis velit enim,Onofre Zamora Almagro,"Ciencia Ficción, Histórico, Aventura",2
Quis recusandae libero pariatur earum,Sandra Lluch,"Terror, Romance, Histórico",3
Dolorem dignissimos dolorum doloribus,Luciana Saldaña Rozas,Terror,5
Dicta alias rerum esse,Evelia Portero Peiró,"Misterio, Drama",5
Fugiat recusandae architecto,Sandra Lluch,"Ciencia Ficción, Aventura",3
Eum mollitia nihil,Onofre Noriega Ropero,"Misterio, Drama",3
Nostrum animi,Maxi Barrera Murillo,Aventura,2
Soluta possimus quos,Juanito Canet-Recio,Fantasía,2
Occaecati quis repellat temporibus,Inmaculada Mulet Pinilla,"Ciencia Ficción, Histórico, Misterio",1
Architecto provident dolore,Teresa Baena,Fantasía,5
Perspiciatis ab unde,Luna Sanjuan Gascón,"Terror, Romance, Ciencia Ficción",3
Rem aliquid alias distinctio,Wilfredo Villalobos,Histórico,2
Autem blanditiis eligendi,Luciana Saldaña Rozas,"Misterio, Histórico",1
Quaerat aliquam dolores beatae,Inmaculada Mulet Pinilla,"Misterio, Fantasía",3
Provident sit quam dolorem voluptatum,Emperatriz Cervera Avilés,Romance,1
Quas exercitationem explicabo assumenda eveniet,Apolonia Borrás Cepeda,"Ciencia Ficción, Aventura, Misterio",4
Dolores esse aliquam quas mollitia,Concepción Royo,Fantasía,5
At sed consequuntur,Celso Albert Valero Martin,"Terror, Romance, Fantasía",1
Sit pariatur aut molestiae illo,Inmaculada Mulet Pinilla,Aventura,4
Architecto voluptatem voluptatum quis reiciendis,Onofre Zamora Almagro,"Histórico, Drama, Aventura",5
Praesentium animi a perspiciatis,Apolonia Borrás Cepeda,Ciencia Ficción,5
Totam optio nulla,Plinio Ballesteros Sureda,Aventura,1
Maxime libero reprehenderit eius sit,Sandra Lluch,"Ciencia Ficción, Histórico",2
Perspiciatis ab unde,Luna Sanjuan Gascón,"Terror, Romance, Ciencia Ficción",5
Nisi facilis voluptate corporis molestias,Aura Anastasia López Vidal,"Ciencia Ficción, Drama, Aventura",5
Sit pariatur aut molestiae illo,Inmaculada Mulet Pinilla,Aventura,3
Labore alias sequi quasi debitis,Rafael Garzón-Ariño,Misterio,1
Perferendis ullam,Eusebia Morales Armas,"Fantasía, Ciencia Ficción, Aventura",5
Magnam rerum,Rosa María Mendoza,Terror,2
Exercitationem fuga error porro,Inmaculada Mulet Pinilla,"Ciencia Ficción, Drama, Misterio",3
Dicta beatae,Rafael Garzón-Ariño,Misterio,5
Temporibus iusto occaecati,Onofre Noriega Ropero,"Fantasía, Aventura",5
Sed consectetur,Luciana Saldaña Rozas,"Terror, Fantasía, Histórico",3
Maxime libero reprehenderit eius sit,Sandra Lluch,"Ciencia Ficción, Histórico",1
Quod nemo,Plinio Ballesteros Sureda,"Ciencia Ficción, Aventura",5
Aliquid officiis at ex molestiae,Amada Ricart-Verdú,"Misterio, Terror",3
Beatae laboriosam enim modi,Juanito Canet-Recio,Histórico,3
Dicta veritatis,Aura Anastasia López Vidal,Terror,2
Quia consequatur velit,Emperatriz Cervera Avilés,Drama,4
Aliquid minima tenetur praesentium,Onofre Zamora Almagro,"Fantasía, Aventura",5
Atque ea aliquid,Aura Anastasia López Vidal,"Fantasía, Histórico, Drama",1
Soluta possimus quos,Juanito Canet-Recio,Fantasía,3
Velit ipsam,Luna Sanjuan Gascón,"Terror, Ciencia Ficción",5
Cum nam architecto ullam,Concepción Royo,Romance,1
Nam maxime accusantium,Maxi Barrera Murillo,"Romance, Aventura",4
